"timestamp","device","seqnumber","event","temperature1","temperature2","bmetemp","bmehum","bmepress","adc1","adc2","adc3","battery","devicetypeid","data","time","__dt"
"2022-07-13T15:30:58+01:00","1B29859","3936","1","55","34","42","8","990","1","1","1","27","5eb93b15c563d67b6b9800d7","019b868e085a0101011b","1657719058","2022-07-13 00:00:00.000"
"2022-07-13T19:06:22+01:00","1B29859","3950","1","36","30","30","24","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0188828218580101011b","1657731982","2022-07-13 00:00:00.000"
"2022-07-14T05:37:11+01:00","1B29859","3991","1","15","17","16","83","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0173757453580101011b","1657769831","2022-07-14 00:00:00.000"
"2022-07-14T08:57:24+01:00","1B29859","4004","1","25","26","28","40","988","1","1","1","27","5eb93b15c563d67b6b9800d7","017d7e8028580101011b","1657781844","2022-07-14 00:00:00.000"
"2022-07-14T07:09:31+01:00","1B29859","3997","1","16","18","18","78","988","1","1","1","27","5eb93b15c563d67b6b9800d7","017476764e580101011b","1657775371","2022-07-14 00:00:00.000"
"2022-07-13T20:07:55+01:00","1B29859","3954","1","33","29","29","26","988","1","1","1","27","5eb93b15c563d67b6b9800d7","018581811a580101011b","1657735675","2022-07-13 00:00:00.000"
"2022-07-13T22:57:08+01:00","1B29859","3965","1","27","24","24","45","989","1","1","1","27","5eb93b15c563d67b6b9800d7","017f7c7c2d590101011b","1657745828","2022-07-13 00:00:00.000"
"2022-07-14T06:38:44+01:00","1B29859","3995","1","15","17","17","83","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0173757553580101011b","1657773524","2022-07-14 00:00:00.000"
"2022-07-13T21:55:37+01:00","1B29859","3961","1","29","25","25","43","988","1","1","1","27","5eb93b15c563d67b6b9800d7","01817d7d2b580101011b","1657742137","2022-07-13 00:00:00.000"
"2022-07-13T16:17:09+01:00","1B29859","3939","1","55","37","45","9","989","1","1","1","27","5eb93b15c563d67b6b9800d7","019b899109590101011b","1657721829","2022-07-13 00:00:00.000"
"2022-07-13T20:38:41+01:00","1B29859","3956","1","32","30","29","27","988","1","1","1","27","5eb93b15c563d67b6b9800d7","018482811b580101011b","1657737521","2022-07-13 00:00:00.000"
"2022-07-14T05:06:24+01:00","1B29859","3989","1","15","17","16","83","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0173757453580101011b","1657767984","2022-07-14 00:00:00.000"
"2022-07-14T08:26:34+01:00","1B29859","4002","1","21","23","25","49","988","1","1","1","27","5eb93b15c563d67b6b9800d7","01797b7d31580101011b","1657779994","2022-07-14 00:00:00.000"
"2022-07-14T02:17:09+01:00","1B29859","3978","1","19","18","17","74","988","1","1","1","27","5eb93b15c563d67b6b9800d7","017776754a580101011b","1657757829","2022-07-14 00:00:00.000"
"2022-07-13T13:58:36+01:00","1B29859","3930","1","49","36","42","14","991","1","1","1","27","5eb93b15c563d67b6b9800d7","0195888e0e5b0101011b","1657713516","2022-07-13 00:00:00.000"
"2022-07-13T15:46:21+01:00","1B29859","3937","1","56","37","45","7","990","1","1","1","27","5eb93b15c563d67b6b9800d7","019c8991075a0101011b","1657719981","2022-07-13 00:00:00.000"
"2022-07-14T04:35:37+01:00","1B29859","3987","1","16","16","16","85","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0174747455580101011b","1657766137","2022-07-14 00:00:00.000"
"2022-07-14T05:52:35+01:00","1B29859","3992","1","15","17","16","84","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0173757454580101011b","1657770755","2022-07-14 00:00:00.000"
"2022-07-14T00:29:27+01:00","1B29859","3971","1","24","22","21","58","989","1","1","1","27","5eb93b15c563d67b6b9800d7","017c7a793a590101011b","1657751367","2022-07-13 00:00:00.000"
"2022-07-14T09:12:48+01:00","1B29859","4005","1","26","25","26","44","988","1","1","1","27","5eb93b15c563d67b6b9800d7","017e7d7e2c580101011b","1657782768","2022-07-14 00:00:00.000"
"2022-07-14T01:15:36+01:00","1B29859","3974","1","22","20","19","67","989","1","1","1","27","5eb93b15c563d67b6b9800d7","017a787743590101011b","1657754136","2022-07-13 00:00:00.000"
"2022-07-14T04:51:00+01:00","1B29859","3988","1","16","16","16","85","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0174747455580101011b","1657767060","2022-07-14 00:00:00.000"
"2022-07-13T19:37:08+01:00","1B29859","3952","1","34","31","30","24","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0186838218580101011b","1657733828","2022-07-13 00:00:00.000"
"2022-07-14T03:03:18+01:00","1B29859","3981","1","18","17","16","80","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0176757450580101011b","1657760598","2022-07-14 00:00:00.000"
"2022-07-13T21:24:51+01:00","1B29859","3959","1","31","27","26","36","988","1","1","1","27","5eb93b15c563d67b6b9800d7","01837f7e24580101011b","1657740291","2022-07-13 00:00:00.000"
"2022-07-13T21:40:13+01:00","1B29859","3960","1","30","26","25","39","988","1","1","1","27","5eb93b15c563d67b6b9800d7","01827e7d27580101011b","1657741213","2022-07-13 00:00:00.000"
"2022-07-14T07:40:21+01:00","1B29859","3999","1","18","20","21","62","988","1","1","1","27","5eb93b15c563d67b6b9800d7","017678793e580101011b","1657777221","2022-07-14 00:00:00.000"
"2022-07-14T09:59:02+01:00","1B29859","4008","1","31","27","30","35","988","1","1","1","27","5eb93b15c563d67b6b9800d7","01837f8223580101011b","1657785542","2022-07-14 00:00:00.000"
"2022-07-13T17:18:41+01:00","1B29859","3943","1","50","32","33","21","989","1","1","1","27","5eb93b15c563d67b6b9800d7","0196848515590101011b","1657725521","2022-07-13 00:00:00.000"
"2022-07-13T15:15:35+01:00","1B29859","3935","1","55","38","48","6","990","1","1","1","27","5eb93b15c563d67b6b9800d7","019b8a94065a0101011b","1657718135","2022-07-13 00:00:00.000"
"2022-07-14T02:47:54+01:00","1B29859","3980","1","18","17","16","79","988","1","1","1","27","5eb93b15c563d67b6b9800d7","017675744f580101011b","1657759674","2022-07-14 00:00:00.000"
"2022-07-13T17:34:03+01:00","1B29859","3944","1","47","32","32","21","989","1","1","1","27","5eb93b15c563d67b6b9800d7","0193848415590101011b","1657726443","2022-07-13 00:00:00.000"
"2022-07-14T03:34:05+01:00","1B29859","3983","1","17","17","16","82","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0175757452580101011b","1657762445","2022-07-14 00:00:00.000"
"2022-07-13T13:12:25+01:00","1B29859","3927","1","50","38","44","12","991","1","1","1","27","5eb93b15c563d67b6b9800d7","01968a900c5b0101011b","1657710745","2022-07-13 00:00:00.000"
"2022-07-14T01:31:00+01:00","1B29859","3975","1","21","19","18","69","989","1","1","1","27","5eb93b15c563d67b6b9800d7","0179777645590101011b","1657755060","2022-07-13 00:00:00.000"
"2022-07-14T09:43:38+01:00","1B29859","4007","1","29","28","31","35","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0181808323580101011b","1657784618","2022-07-14 00:00:00.000"
"2022-07-14T10:14:25+01:00","1B29859","4009","1","32","26","28","38","988","1","1","1","27","5eb93b15c563d67b6b9800d7","01847e8026580101011b","1657786465","2022-07-14 00:00:00.000"
"2022-07-13T14:44:45+01:00","1B29859","3933","1","51","34","43","8","990","1","1","1","27","5eb93b15c563d67b6b9800d7","0197868f085a0101011b","1657716285","2022-07-13 00:00:00.000"
"2022-07-14T04:04:51+01:00","1B29859","3985","1","16","16","15","87","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0174747357580101011b","1657764291","2022-07-14 00:00:00.000"
"2022-07-14T01:00:13+01:00","1B29859","3973","1","22","20","19","64","989","1","1","1","27","5eb93b15c563d67b6b9800d7","017a787740590101011b","1657753213","2022-07-13 00:00:00.000"
"2022-07-13T17:03:19+01:00","1B29859","3942","1","54","33","34","19","989","1","1","1","27","5eb93b15c563d67b6b9800d7","019a858613590101011b","1657724599","2022-07-13 00:00:00.000"
"2022-07-13T18:50:58+01:00","1B29859","3949","1","37","31","30","24","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0189838218580101011b","1657731058","2022-07-13 00:00:00.000"
"2022-07-14T10:45:13+01:00","1B29859","4011","1","34","29","32","31","987","1","1","1","27","5eb93b15c563d67b6b9800d7","018681841f570101011b","1657788313","2022-07-14 00:00:00.000"
"2022-07-14T02:01:45+01:00","1B29859","3977","1","20","19","18","72","989","1","1","1","27","5eb93b15c563d67b6b9800d7","0178777648590101011b","1657756905","2022-07-14 00:00:00.000"
"2022-07-13T16:32:33+01:00","1B29859","3940","1","55","37","45","9","989","1","1","1","27","5eb93b15c563d67b6b9800d7","019b899109590101011b","1657722753","2022-07-13 00:00:00.000"
"2022-07-14T00:14:04+01:00","1B29859","3970","1","24","22","21","57","989","1","1","1","27","5eb93b15c563d67b6b9800d7","017c7a7939590101011b","1657750444","2022-07-13 00:00:00.000"
"2022-07-13T16:01:46+01:00","1B29859","3938","1","56","36","43","9","989","1","1","1","27","5eb93b15c563d67b6b9800d7","019c888f09590101011b","1657720906","2022-07-13 00:00:00.000"
"2022-07-14T10:29:52+01:00","1B29859","4010","1","33","28","32","33","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0185808421580101011b","1657787392","2022-07-14 00:00:00.000"
"2022-07-14T07:24:56+01:00","1B29859","3998","1","17","22","23","58","988","1","1","1","27","5eb93b15c563d67b6b9800d7","01757a7b3a580101011b","1657776296","2022-07-14 00:00:00.000"
"2022-07-14T06:07:57+01:00","1B29859","3993","1","15","17","16","85","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0173757455580101011b","1657771677","2022-07-14 00:00:00.000"
"2022-07-14T03:18:41+01:00","1B29859","3982","1","17","17","16","82","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0175757452580101011b","1657761521","2022-07-14 00:00:00.000"
"2022-07-13T16:47:56+01:00","1B29859","3941","1","55","33","42","11","989","1","1","1","27","5eb93b15c563d67b6b9800d7","019b858e0b590101011b","1657723676","2022-07-13 00:00:00.000"
"2022-07-13T23:12:31+01:00","1B29859","3966","1","26","24","23","48","989","1","1","1","27","5eb93b15c563d67b6b9800d7","017e7c7b30590101011b","1657746751","2022-07-13 00:00:00.000"
"2022-07-13T21:09:28+01:00","1B29859","3958","1","31","28","27","35","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0183807f23580101011b","1657739368","2022-07-13 00:00:00.000"
"2022-07-13T20:23:18+01:00","1B29859","3955","1","33","29","29","27","988","1","1","1","27","5eb93b15c563d67b6b9800d7","018581811b580101011b","1657736598","2022-07-13 00:00:00.000"
"2022-07-13T23:27:55+01:00","1B29859","3967","1","26","23","23","50","989","1","1","1","27","5eb93b15c563d67b6b9800d7","017e7b7b32590101011b","1657747675","2022-07-13 00:00:00.000"
"2022-07-14T08:41:59+01:00","1B29859","4003","1","22","25","27","45","988","1","1","1","27","5eb93b15c563d67b6b9800d7","017a7d7f2d580101011b","1657780919","2022-07-14 00:00:00.000"
"2022-07-13T15:00:10+01:00","1B29859","3934","1","53","37","46","7","990","1","1","1","27","5eb93b15c563d67b6b9800d7","01998992075a0101011b","1657717210","2022-07-13 00:00:00.000"
"2022-07-13T18:35:36+01:00","1B29859","3948","1","39","31","31","23","988","1","1","1","27","5eb93b15c563d67b6b9800d7","018b838317580101011b","1657730136","2022-07-13 00:00:00.000"
"2022-07-14T06:54:06+01:00","1B29859","3996","1","16","18","17","79","988","1","1","1","27","5eb93b15c563d67b6b9800d7","017476754f580101011b","1657774446","2022-07-14 00:00:00.000"
"2022-07-14T01:46:23+01:00","1B29859","3976","1","20","19","18","72","989","1","1","1","27","5eb93b15c563d67b6b9800d7","0178777648590101011b","1657755983","2022-07-13 00:00:00.000"
"2022-07-13T22:10:59+01:00","1B29859","3962","1","28","25","25","40","989","1","1","1","27","5eb93b15c563d67b6b9800d7","01807d7d28590101011b","1657743059","2022-07-13 00:00:00.000"
"2022-07-14T03:49:27+01:00","1B29859","3984","1","17","16","16","84","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0175747454580101011b","1657763367","2022-07-14 00:00:00.000"
"2022-07-13T17:49:26+01:00","1B29859","3945","1","44","32","32","22","989","1","1","1","27","5eb93b15c563d67b6b9800d7","0190848416590101011b","1657727366","2022-07-13 00:00:00.000"
"2022-07-14T07:55:44+01:00","1B29859","4000","1","18","21","22","64","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0176797a40580101011b","1657778144","2022-07-14 00:00:00.000"
"2022-07-14T09:28:12+01:00","1B29859","4006","1","28","29","32","33","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0180818421580101011b","1657783692","2022-07-14 00:00:00.000"
"2022-07-13T23:58:41+01:00","1B29859","3969","1","25","22","22","55","989","1","1","1","27","5eb93b15c563d67b6b9800d7","017d7a7a37590101011b","1657749521","2022-07-13 00:00:00.000"
"2022-07-14T04:20:13+01:00","1B29859","3986","1","16","16","15","88","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0174747358580101011b","1657765213","2022-07-14 00:00:00.000"
"2022-07-14T08:11:09+01:00","1B29859","4001","1","19","21","22","60","988","1","1","1","27","5eb93b15c563d67b6b9800d7","0177797a3c580101011b","1657779069","2022-07-14 00:00:00.000"
